Patient Name: ZZ_RC, RC
Patient ID: ZZ_RC
Plan: Plan2PDD
Course: Virtual_phantom
Date: 03 March 2017 11:47:28
Exported by: rcole

Start: (0.00, -14.97, 1.00)
End:   (0.00, 14.92, 1.00)

	Field 1
23.988556	81.437899
24.013570	81.306211
24.038584	81.174524
24.063598	81.042837
24.088612	80.911150
24.113627	80.778610
24.138641	80.645686
24.163655	80.512762
24.188669	80.379837
24.213683	80.246913
24.238697	80.113989
24.263711	79.981064
24.288726	79.848140
24.313740	79.715215
24.338754	79.582291
24.363768	79.473873
24.388782	79.376242
24.413796	79.278610
24.438810	79.180979
24.463824	79.083347
24.488839	78.985716
24.513853	78.888085
24.538867	78.790453
24.563881	78.692822
24.588895	78.595191
24.613909	78.500999
24.638923	78.408282
24.663938	78.315565
24.688952	78.222848
24.713966	78.130131
24.738980	78.037413
24.763994	77.944696
24.789008	77.851979
24.814022	77.759262
24.839037	77.666545
24.864051	77.554144
24.889065	77.433534
24.914079	77.312924
24.939093	77.192314
24.964107	77.071704
24.989121	76.951093
25.014135	76.830483
25.039150	76.709873
25.064164	76.589263
25.089178	76.468653
25.114192	76.348625
25.139206	76.228834
25.164220	76.109043
25.189234	75.989251
25.214249	75.869460
25.239263	75.749669
25.264277	75.629878
25.289291	75.510087
25.314305	75.390296
25.339319	75.270504
25.364333	75.173656
25.389348	75.085865
25.414362	74.998073
25.439376	74.910282
25.464390	74.822490
25.489404	74.734699
25.514418	74.646907
25.539432	74.559116
25.564446	74.471324
25.589461	74.383533
25.614475	74.298709
25.639489	74.215024
25.664503	74.131339
25.689517	74.047654
25.714531	73.963969
25.739545	73.880284
25.764560	73.796600
25.789574	73.712915
25.814588	73.629230
25.839602	73.545545
25.864616	73.441538
25.889630	73.329949
25.914644	73.218359
25.939658	73.106770
25.964673	72.995181
25.989687	72.883591
26.014701	72.772002
26.039715	72.660413
26.064729	72.548823
26.089743	72.437234
26.114757	72.325645
26.139772	72.214055
26.164786	72.102466
26.189800	71.990877
26.214814	71.879287
26.239828	71.767698
26.264842	71.656108
26.289856	71.544519
26.314871	71.432930
26.339885	71.321340
26.364899	71.230994
26.389913	71.148128
26.414927	71.065263
26.439941	70.982397
26.464955	70.899531
26.489969	70.816665
26.514984	70.733799
26.539998	70.650934
26.565012	70.568068
26.590026	70.485202
26.615040	70.403557
26.640054	70.322329
26.665068	70.241101
26.690083	70.159874
26.715097	70.078646
26.740111	69.997418
26.765125	69.916190
26.790139	69.834963
26.815153	69.753735
26.840167	69.672507
26.865181	69.569101
26.890196	69.458336
26.915210	69.347572
26.940224	69.236807
26.965238	69.126042
26.990252	69.015278
27.015266	68.904513
27.040280	68.793749
27.065295	68.682984
27.090309	68.572220
27.115323	68.460835
27.140337	68.349252
27.165351	68.237668
27.190365	68.126084
27.215379	68.014501
27.240394	67.902917
27.265408	67.791334
27.290422	67.679750
27.315436	67.568166
27.340450	67.456583
27.365464	67.367511
27.390478	67.285465
27.415492	67.203418
27.440507	67.121371
27.465521	67.039324
27.490535	66.957277
27.515549	66.875231
27.540563	66.793184
27.565577	66.711137
27.590591	66.629090
27.615606	66.551450
27.640620	66.475142
27.665634	66.398835
27.690648	66.322527
27.715662	66.246219
27.740676	66.169911
27.765690	66.093603
27.790705	66.017295
27.815719	65.940988
27.840733	65.864680
27.865747	65.770288
27.890761	65.670601
27.915775	65.570913
27.940789	65.471226
27.965803	65.371538
27.990818	65.271851
28.015832	65.172163
28.040846	65.072475
28.065860	64.972788
28.090874	64.873100
28.115888	64.773413
28.140902	64.673725
28.165917	64.574038
28.190931	64.474350
28.215945	64.374663
28.240959	64.274975
28.265973	64.175287
28.290987	64.075600
28.316001	63.975912
28.341015	63.876225
28.366030	63.797142
28.391044	63.723709
28.416058	63.650276
28.441072	63.576844
28.466086	63.503411
28.491100	63.429979
28.516114	63.356546
28.541129	63.283113
28.566143	63.209681
28.591157	63.136248
28.616171	63.065084
28.641185	62.994521
28.666199	62.923958
28.691213	62.853395
28.716228	62.782831
28.741242	62.712268
28.766256	62.641705
28.791270	62.571142
28.816284	62.500579
28.841298	62.430016
28.866312	62.340841
28.891326	62.246898
28.916341	62.152955
28.941355	62.059012
28.966369	61.965069
28.991383	61.871126
29.016397	61.777184
29.041411	61.683241
29.066425	61.589298
29.091440	61.495355
29.116454	61.400751
29.141468	61.305983
29.166482	61.211216
29.191496	61.116448
29.216510	61.021680
29.241524	60.926913
29.266539	60.832145
29.291553	60.737378
29.316567	60.642610
29.341581	60.547842
29.366595	60.472950
29.391609	60.402799
29.416623	60.332649
29.441637	60.262498
29.466652	60.192347
29.491666	60.122197
29.516680	60.052046
29.541694	59.981895
29.566708	59.911744
29.591722	59.841594
29.616736	59.197753
29.641751	58.421989
29.666765	57.646224
29.691779	56.870460
29.716793	56.094695
29.741807	55.318931
29.766821	54.543166
29.791835	53.767402
29.816849	52.991637
29.841864	52.215873
29.866878	47.809473
29.891892	42.599007
